start_id,end_id
oewn-temperateness-n,oewn-fair_weather-n
oewn-temperateness-n,oewn-sunshine-n
oewn-temperateness-n,oewn-self-restraint-n
oewn-tempest-n,oewn-storm-n
oewn-tension-n,oewn-tenseness-n
oewn-tension-n,oewn-stress-n
oewn-tension-n,oewn-tensity-n
oewn-tension-n,oewn-tautness-n
oewn-tension-n,oewn-latent_hostility-n
oewn-thaw-n,oewn-melt-n
oewn-thaw-n,oewn-thawing-n
oewn-thaw-n,oewn-melting-n
oewn-thaw-n,oewn-warming-n
oewn-thawing-n,oewn-melt-n
oewn-thawing-n,oewn-melting-n
oewn-thawing-n,oewn-warming-n
oewn-the_Flood-n,oewn-Noah-ap-s_flood-n
oewn-the_Flood-n,oewn-Noachian_deluge-n
oewn-the_Flood-n,oewn-Noah_and_the_Flood-n
oewn-theta_wave-n,oewn-theta_rhythm-n
oewn-thrust-n,oewn-push-n
oewn-thrust-n,oewn-stab-n
oewn-thrust-n,oewn-knife_thrust-n
oewn-thrust-n,oewn-drive-n
oewn-thrust-n,oewn-driving_force-n
oewn-thrust-n,oewn-jab-n
oewn-thrust-n,oewn-jabbing-n
oewn-thrust-n,oewn-poke-n
oewn-thrust-n,oewn-poking-n
oewn-thrust-n,oewn-thrusting-n
oewn-thunderbolt-n,oewn-bolt-n
oewn-thunderbolt-n,oewn-bolt_of_lightning-n
oewn-thunderbolt-n,oewn-bombshell-n
oewn-thunderbolt-n,oewn-thunderclap-n
oewn-tornado-n,oewn-twister-n
oewn-tornado-n,oewn-crack-n
oewn-tornado-n,oewn-crack_cocaine-n
oewn-torque-n,oewn-torsion-n
oewn-torrent-n,oewn-downpour-n
oewn-torrent-n,oewn-cloudburst-n
oewn-torrent-n,oewn-deluge-n
oewn-torrent-n,oewn-waterspout-n
oewn-torrent-n,oewn-pelter-n
oewn-torrent-n,oewn-soaker-n
oewn-torrent-n,oewn-violent_stream-n
oewn-torrent-n,oewn-flood-n
oewn-torrent-n,oewn-inundation-n
oewn-torsion-n,oewn-tortuosity-n
oewn-torsion-n,oewn-tortuousness-n
oewn-torsion-n,oewn-contortion-n
oewn-torsion-n,oewn-crookedness-n
oewn-toss-up-n,oewn-tossup-n
oewn-toss-up-n,oewn-even_chance-n
oewn-traction-n,oewn-grip-n
oewn-traction-n,oewn-adhesive_friction-n
oewn-trade-n,oewn-craft-n
oewn-trade-n,oewn-patronage-n
oewn-trade-n,oewn-deal-n
oewn-trade-n,oewn-business_deal-n
oewn-trade-n,oewn-trade_wind-n
oewn-trade-n,oewn-barter-n
oewn-trade-n,oewn-swap-n
oewn-trade-n,oewn-swop-n
oewn-tramontana-n,oewn-tramontane-n
oewn-transgression-n,oewn-evildoing-n
oewn-transparence-n,oewn-transparency-n
oewn-transparence-n,oewn-transparentness-n
oewn-transparency-n,oewn-transparentness-n
oewn-transparency-n,oewn-foil-n
oewn-turbulence-n,oewn-turbulency-n
oewn-turbulence-n,oewn-upheaval-n
oewn-turbulence-n,oewn-Sturm_und_Drang-n
oewn-twilight-n,oewn-dusk-n
oewn-twilight-n,oewn-gloaming-n
oewn-twilight-n,oewn-gloam-n
oewn-twilight-n,oewn-nightfall-n
oewn-twilight-n,oewn-evenfall-n
oewn-twilight-n,oewn-fall-n
oewn-twilight-n,oewn-crepuscule-n
oewn-twilight-n,oewn-crepuscle-n
oewn-twister-n,oewn-cruller-n
oewn-Moon-n,oewn-moon-n
oewn-Moon-n,oewn-moonlight-n
oewn-Moon-n,oewn-moonshine-n
oewn-Moon-n,oewn-Sun_Myung_Moon-n
oewn-macula-n,oewn-sunspot-n
oewn-macula-n,oewn-macula_lutea-n
oewn-macula-n,oewn-macular_area-n
oewn-macula-n,oewn-yellow_spot-n
oewn-macula-n,oewn-macule-n
oewn-magnetic_attraction-n,oewn-magnetism-n
oewn-magnetic_attraction-n,oewn-magnetic_force-n
oewn-magnetic_flux-n,oewn-magnetic_field-n
oewn-magnetic_flux-n,oewn-flux-n
oewn-magnetic_force-n,oewn-magnetism-n
oewn-magnetism-n,oewn-magnetics-n
oewn-mass_deficiency-n,oewn-mass_defect-n
oewn-meteor-n,oewn-meteoroid-n
oewn-meteor-n,oewn-shooting_star-n
oewn-meteor_stream-n,oewn-meteor_shower-n
oewn-microwave-n,oewn-microwave_oven-n
oewn-mischance-n,oewn-bad_luck-n
oewn-mischance-n,oewn-mishap-n
oewn-mischance-n,oewn-misadventure-n
oewn-mishap-n,oewn-bad_luck-n
oewn-mishap-n,oewn-misadventure-n
oewn-mizzle-n,oewn-drizzle-n
oewn-mock_sun-n,oewn-parhelion-n
oewn-mock_sun-n,oewn-sundog-n
oewn-moment-n,oewn-minute-n
oewn-moment-n,oewn-second-n
oewn-moment-n,oewn-instant-n
oewn-moment-n,oewn-mo-n
oewn-moment-n,oewn-bit-n
oewn-moment-n,oewn-here_and_now-n
oewn-moment-n,oewn-present_moment-n
oewn-moment-n,oewn-consequence-n
oewn-moment-n,oewn-import-n
oewn-moment_of_a_magnet-n,oewn-magnetic_moment-n
oewn-moon_ray-n,oewn-moonbeam-n
oewn-moon_ray-n,oewn-moon-ray-n
oewn-moon-ray-n,oewn-moonbeam-n
oewn-moonshine-n,oewn-moonlight-n
oewn-moonshine-n,oewn-bootleg-n
oewn-moonshine-n,oewn-corn_liquor-n
oewn-mortification-n,oewn-chagrin-n
oewn-mortification-n,oewn-humiliation-n
oewn-mortification-n,oewn-necrosis-n
oewn-mortification-n,oewn-gangrene-n
oewn-mortification-n,oewn-sphacelus-n
oewn-motion-n,oewn-gesture-n
oewn-motion-n,oewn-movement-n
oewn-motion-n,oewn-move-n
oewn-motion-n,oewn-motility-n
oewn-motion-n,oewn-question-n
oewn-motion-n,oewn-apparent_motion-n
oewn-motion-n,oewn-apparent_movement-n
oewn-movement-n,oewn-move-n
oewn-movement-n,oewn-motility-n
oewn-movement-n,oewn-social_movement-n
oewn-movement-n,oewn-front-n
oewn-movement-n,oewn-campaign-n
oewn-movement-n,oewn-cause-n
oewn-movement-n,oewn-crusade-n
oewn-movement-n,oewn-drive-n
oewn-movement-n,oewn-effort-n
oewn-movement-n,oewn-apparent_motion-n
oewn-movement-n,oewn-apparent_movement-n
oewn-movement-n,oewn-bowel_movement-n
oewn-movement-n,oewn-bm-n
oewn-movement-n,oewn-drift-n
oewn-movement-n,oewn-trend-n
oewn-mushroom-n,oewn-mushroom_cloud-n
oewn-mushroom-n,oewn-mushroom-shaped_cloud-n
oewn-mushroom_cloud-n,oewn-mushroom-shaped_cloud-n
oewn-jack-o-ap--lantern-n,oewn-friar-ap-s_lantern-n
oewn-jack-o-ap--lantern-n,oewn-ignis_fatuus-n
oewn-jack-o-ap--lantern-n,oewn-will-o-ap--the-wisp-n
oewn-jet-n,oewn-jet_plane-n
oewn-jet-n,oewn-jet-propelled_plane-n
oewn-jet-n,oewn-squirt-n
oewn-jet-n,oewn-spurt-n
oewn-jet-n,oewn-spirt-n
oewn-jet-n,oewn-blue_jet-n
oewn-jet-n,oewn-reverse_lightning-n
oewn-jet-n,oewn-K-n
oewn-jet-n,oewn-super_acid-n
oewn-jet-n,oewn-special_K-n
oewn-jet-n,oewn-honey_oil-n
oewn-jet-n,oewn-green-n
oewn-jet-n,oewn-cat_valium-n
oewn-jet-n,oewn-super_C-n
oewn-jet-n,oewn-fountain-n
oewn-juice-n,oewn-succus-n
oewn-Brownian_motion-n,oewn-Brownian_movement-n
oewn-Brownian_motion-n,oewn-pedesis-n
oewn-backwash-n,oewn-slipstream-n
oewn-backwash-n,oewn-airstream-n
oewn-backwash-n,oewn-race-n
oewn-backwash-n,oewn-wash-n
oewn-backwash-n,oewn-aftermath-n
oewn-backwash-n,oewn-wake-n
oewn-bad_luck-n,oewn-misfortune-n
oewn-bad_luck-n,oewn-tough_luck-n
oewn-bad_luck-n,oewn-ill_luck-n
oewn-ballistic_trajectory-n,oewn-ballistics-n
oewn-beam-n,oewn-radio_beam-n
oewn-beam-n,oewn-ray-n
oewn-beam-n,oewn-electron_beam-n
oewn-beam-n,oewn-beam_of_light-n
oewn-beam-n,oewn-light_beam-n
oewn-beam-n,oewn-ray_of_light-n
oewn-beam-n,oewn-shaft-n
oewn-beam-n,oewn-shaft_of_light-n
oewn-beam-n,oewn-irradiation-n
oewn-beam-n,oewn-balance_beam-n
oewn-beam_of_light-n,oewn-light_beam-n
oewn-beam_of_light-n,oewn-ray-n
oewn-beam_of_light-n,oewn-ray_of_light-n
oewn-beam_of_light-n,oewn-shaft-n
oewn-beam_of_light-n,oewn-shaft_of_light-n
oewn-beam_of_light-n,oewn-irradiation-n
oewn-beat-n,oewn-round-n
oewn-beat-n,oewn-pulse-n
oewn-beat-n,oewn-pulsation-n
oewn-beat-n,oewn-heartbeat-n
oewn-beat-n,oewn-rhythm-n
oewn-beat-n,oewn-musical_rhythm-n
oewn-beat-n,oewn-beatnik-n
oewn-beat-n,oewn-meter-n
oewn-beat-n,oewn-metre-n
oewn-beat-n,oewn-measure-n
oewn-beat-n,oewn-cadence-n
oewn-beta_ray-n,oewn-beta_radiation-n
oewn-beta_ray-n,oewn-electron_radiation-n
oewn-beta_wave-n,oewn-beta_rhythm-n
oewn-biology-n,oewn-biological_science-n
oewn-biology-n,oewn-biota-n
oewn-birefringence-n,oewn-double_refraction-n
oewn-bize-n,oewn-bise-n
oewn-blackbody_radiation-n,oewn-black-body_radiation-n
oewn-blast-n,oewn-bang-n
oewn-blast-n,oewn-clap-n
oewn-blast-n,oewn-eruption-n
oewn-blast-n,oewn-bam-n
oewn-blast-n,oewn-gust-n
oewn-blast-n,oewn-blow-n
oewn-blast-n,oewn-good_time-n
oewn-blast-n,oewn-fire-n
oewn-blast-n,oewn-attack-n
oewn-blast-n,oewn-flak-n
oewn-blast-n,oewn-flack-n
oewn-blizzard-n,oewn-snowstorm-n
oewn-blizzard-n,oewn-rash-n
oewn-bloom-n,oewn-blooming-n
oewn-bloom-n,oewn-flower-n
oewn-bloom-n,oewn-blossom-n
oewn-bloom-n,oewn-bloom_of_youth-n
oewn-bloom-n,oewn-salad_days-n
oewn-bloom-n,oewn-blush-n
oewn-bloom-n,oewn-flush-n
oewn-bloom-n,oewn-rosiness-n
oewn-bloom-n,oewn-prime-n
oewn-bloom-n,oewn-peak-n
oewn-bloom-n,oewn-heyday-n
oewn-bloom-n,oewn-efflorescence-n
oewn-blow-n,oewn-bump-n
oewn-blow-n,oewn-reverse-n
oewn-blow-n,oewn-reversal-n
oewn-blow-n,oewn-setback-n
oewn-blow-n,oewn-black_eye-n
oewn-blow-n,oewn-shock-n
oewn-blow-n,oewn-gust-n
oewn-blow-n,oewn-coke-n
oewn-blow-n,oewn-nose_candy-n
oewn-blow-n,oewn-snow-n
oewn-blow-n,oewn-C-n
oewn-blow-n,oewn-puff-n
oewn-blue_jet-n,oewn-reverse_lightning-n
oewn-bluster-n,oewn-bravado-n
oewn-bluster-n,oewn-braggadocio-n
oewn-bluster-n,oewn-rodomontade-n
oewn-bluster-n,oewn-rhodomontade-n
oewn-bolt-n,oewn-bolt_of_lightning-n
oewn-bolt-n,oewn-deadbolt-n
oewn-bolt-n,oewn-dash-n
oewn-bond-n,oewn-chemical_bond-n
oewn-bond-n,oewn-bond_certificate-n
oewn-bond-n,oewn-alliance-n
oewn-bond-n,oewn-bail-n
oewn-bond-n,oewn-bail_bond-n
oewn-bond-n,oewn-shackle-n
oewn-bond-n,oewn-hamper-n
oewn-bond-n,oewn-trammel-n
oewn-bond-n,oewn-attachment-n
oewn-bond-n,oewn-bond_paper-n
oewn-bond-n,oewn-adhesiveness-n
oewn-bond-n,oewn-adhesion-n
oewn-bond-n,oewn-adherence-n
oewn-boreas-n,oewn-north_wind-n
oewn-boreas-n,oewn-northerly-n
oewn-boreas-n,oewn-norther-n
oewn-brain_wave-n,oewn-brainwave-n
oewn-brain_wave-n,oewn-cortical_potential-n
oewn-brainwave-n,oewn-cortical_potential-n
oewn-brainwave-n,oewn-insight-n
oewn-brainwave-n,oewn-brainstorm-n
oewn-branch-n,oewn-subdivision-n
oewn-branch-n,oewn-arm-n
oewn-branch-n,oewn-leg-n
oewn-branch-n,oewn-ramification-n
oewn-branch-n,oewn-outgrowth-n
oewn-branch-n,oewn-offshoot-n
oewn-branch-n,oewn-offset-n
oewn-branch-n,oewn-limb-n
oewn-breath-n,oewn-breather-n
oewn-breath-n,oewn-breathing_place-n
oewn-breath-n,oewn-breathing_space-n
oewn-breath-n,oewn-breathing_spell-n
oewn-breath-n,oewn-breathing_time-n
oewn-breath-n,oewn-hint-n
