start_id,end_id
10043,शक्तिः
32403,गन्धर्वः
12645,समुदायः
38082,शब्दः
25624,अवधिः
24437,पुरम्
27053,लिङ्गम्
4795,पौराणिकजीवः
10687,कर्म
7914,राक्षसी
3847,स्वच्छता
34520,मङ्गलम्
30449,पुरम्
29738,असुरः
39798,प्रशिक्षणार्थी
36613,पानीयम्
31560,कुरुवंशी
3777,क्रिया
34010,प्रयोगः
5503,उत्प्रेक्षा
27088,स्थलम्
24259,देशः
24659,मण्डलम्
31201,अनुपलब्धिः
28287,"आपणकः	मानवनिर्मितस्थानं यत्र नानाविधवस्तूनां सेवानां च विक्रयो भवति।:""अस्मिन् हाटे मम फलस्य आपणकम् अस्ति।"""
9683,व्यवहारः
31331,क्रिया
12466,चिह्नम्
16019,संकर-रागः
5208,भारः
17915,व्याधिः
22910,वाणिज्यम्
34601,अर्पणम्
36179,मनुष्यः
24721,पुरम्
32556,रागिणी
16053,"रागः	सङ्गीते स्वराणां विशेषेण प्रकारेण तथा च क्रमेण कृतया रचनया भूतः गीतस्य आलेखः।:""भारतीयसङ्गीते षड् रागाः सन्ति इति मन्यते।""	noun:"""""
9273,शारीरिकभागः
10938,परिमाणम्
7680,निवासी
5746,गणः
28882,आरोपणम्
30783,पौराणिकपुरुषः
26521,मनुष्यः
24733,मण्डलम्
17354,गुरुः
4183,पत्नी
37850,ललितकला
35937,स्थलम्
431,विरामः
315,कर्म
2241,नासिकारज्जुः
21396,पौराणिकस्त्री
13283,श्रेणी
17122,गीतम्
8756,वर्गः
1086,व्याधिः
12604,अस्थि
5887,क्षुपः
10956,क्रिया
31337,कर्पुरः
5888,खाद्यफलम्
33948,पुष्पम्
28035,आवासः
1690,निर्धारित-समयः
3010,धर्म-कर्म
33506,कर्म
20005,मनुष्यः
28110,भावः
23567,वेतनम्
5693,शब्दः
32236,अधिकारी
22875,साधुः
29758,गोवत्सः
224,पदम्
1754,तन्त्रम्
38001,धर्माचार्यः
8845,मनुष्यः
25567,स्थलम्
8571,मनुष्यः
31309,वृत्तम्
15425,व्याधिः
27220,कर्म
23348,पुरुषः
13541,शास्त्रीय-नृत्यम्
22771,गोत्रम्
1749,दिनम्
